comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
3de9d94a-3185-4282-8959-e00703cb81ac,Mccormick-Hawkins,LLC,Madagascar,Montenegro,2019-12-20
0385dd3a-acb6-4f1f-9218-8dee28bbf4e6,"Hall, Hill and Guerrero",LLC,Djibouti,Palestinian Territory,2016-12-24
8cd00e99-763d-4a9e-9d45-533ecf029a43,Flowers-Smith,Group,Afghanistan,United Arab Emirates,1995-07-10
59385940-3769-4b1b-8526-d5c888fc5426,Moore-Jones,PLC,Ghana,Philippines,1985-03-28
779ae16a-6d15-4f97-96ca-823d3e5e9b0c,Baldwin LLC,Group,Colombia,Greece,2013-03-26
6a36cc27-55f6-4dc4-9979-19b6f1a81536,Smith Inc,PLC,Wallis and Futuna,Saint Lucia,1973-08-10
6647e753-51e2-4af9-9826-331451e378e3,Smith-Brown,LLC,Azerbaijan,British Virgin Islands,2017-04-24
cfc42bde-2d06-4e6b-bbb9-626be64dd861,Larsen LLC,and Sons,Kazakhstan,French Southern Territories,2008-01-18
0fbf0a71-51fb-41c2-b33a-dcf03e88588c,Hughes Inc,PLC,New Caledonia,Chile,1978-03-30
6573a590-1f5d-472f-a0be-d0349ffe194c,"Johnson, Johnston and Stevens",PLC,Malawi,Honduras,1995-04-10
3fe4a7b9-36f0-4d7c-b335-75fec844f2f2,Nunez LLC,LLC,Slovenia,Algeria,2020-06-20
c6c2528b-f17c-47c2-9ee5-c17cd05a7059,"George, Jones and Jones",Inc,Fiji,Ghana,2024-07-19
35034d94-5bc5-49bd-9d49-31b7e12ceb1e,Doyle-Carpenter,LLC,Russian Federation,Guinea,2002-04-08
e74be7cc-eea7-4c0e-8af1-b5dee9e753c5,"Lawrence, Waller and Grimes",and Sons,Liberia,Guadeloupe,2025-02-28
4b44b743-5e5c-4514-ab44-f2794fda7e56,Morrison Ltd,Inc,Guatemala,Argentina,1986-06-26
df7c31a1-80ec-4938-aada-6517e261ceb5,Mendoza Ltd,and Sons,Norway,San Marino,2019-08-28
