comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
c7183733-cd3c-417b-bd60-249323196596,"Roberts, Tate and Baird",LLC,Moldova,Poland,2008-08-10
4bc3f05b-fd25-4d10-be2e-3e5539f94c51,"Bass, Aguilar and Friedman",Ltd,United Kingdom,Oman,2004-12-04
13f2ca41-d5ac-40b8-b874-8ddcfafb0952,"Baldwin, Murphy and Mcfarland",LLC,French Southern Territories,Sao Tome and Principe,1987-06-29
373e00cc-aaae-4e57-a015-11b7c4c052fe,"Gilbert, Young and Olson",and Sons,Mauritius,Maldives,2015-07-06
1728fa47-2cae-409e-b9de-a85ac2ded588,Marsh-Owens,Ltd,Libyan Arab Jamahiriya,Gabon,2010-01-20
dfe70316-333b-47c3-b2e4-27d01180cbf8,"Brown, Woods and Leon",PLC,United Arab Emirates,Chad,1979-10-08
f0d50581-c6e5-4ea3-8773-ce695561af3d,Padilla-Chavez,and Sons,Zimbabwe,Cambodia,1987-01-03
8bb7f0e6-ee61-4a52-b424-cd774b7ffb50,Miller PLC,Group,Guernsey,United States of America,1970-03-15
e51822cb-4de9-4ccb-8a33-ed4b3063746f,Warren-Newman,and Sons,Djibouti,Namibia,1989-08-02
8cd54aa9-f96d-446a-a2ed-c5b4e308fa8b,Cox-Preston,Ltd,United States Virgin Islands,Cameroon,1972-02-15
7b47b452-0736-4a99-ab1a-974bc15902a2,Huynh Ltd,Ltd,Israel,Bhutan,2014-10-19
50a02a0f-bf5e-44ea-a677-7686028ff01d,Cohen Group,Ltd,Congo,Pitcairn Islands,2015-04-22
7268cf1b-dec4-47aa-9828-4b80e7af173d,Smith Group,Ltd,Kiribati,Solomon Islands,1999-03-12
41c40400-5c80-4c23-adad-69f6af26c00f,"Atkins, Cross and Harrison",Group,Malta,Indonesia,2021-12-29
35f3f0af-d680-4f40-814d-e9fbd86e5a71,Johnson PLC,Group,Netherlands,Morocco,2010-01-03
d17e279b-7119-460a-875f-11d7e63206ce,"Grimes, Davis and Calderon",and Sons,Saint Martin,United Kingdom,2009-06-06
5ad3b925-152e-4f8b-bca9-7ed4c47ec8ba,Smith-Simon,PLC,Cyprus,Iceland,2019-06-08
64a42d8f-d9ef-4d8b-96bd-34fab6f8f8e7,Roberts Group,Ltd,Cayman Islands,Syrian Arab Republic,2016-01-10
509b47e4-2ce8-41ee-91b7-5f4685fd07af,Sanders-Lopez,Ltd,French Guiana,Cameroon,1985-11-20
6efe4423-541f-4734-b711-4b61dd36a726,Cook LLC,Group,Antarctica (the territory South of 60 deg S),Burkina Faso,1985-07-21
ca4fe895-7d52-4317-b457-ab0ba16eac10,Rogers Ltd,Group,Jamaica,Congo,1993-05-04
5f7b8d2d-63c8-49b7-a7d1-8a3dcd53fe4f,Thompson Ltd,Group,Grenada,Bangladesh,1993-02-11
6041653c-ce54-4519-8318-b0c7d48fa166,Cox-Rodriguez,PLC,Guadeloupe,United States Minor Outlying Islands,2018-11-26
27705b2f-9230-4ac1-87a2-2505c6f25fe3,Johnson-Brown,Ltd,Antigua and Barbuda,Trinidad and Tobago,1977-08-31
6da37259-7c7b-4219-9242-17b72e97d4f1,Brown Inc,LLC,Taiwan,Qatar,1979-11-06
2a3349e1-e275-4832-a5f2-bef019a8a973,White LLC,PLC,Gambia,Serbia,1997-07-24
6e40e647-2000-44ab-9d7d-d7b025ba98fd,Harrison PLC,Group,Tanzania,Cyprus,2005-11-05
45305fec-5c7e-4bd5-8a52-6bd71795183e,Hicks-Kerr,PLC,Western Sahara,Marshall Islands,1971-06-28
4a9241e0-9660-4bd0-ade4-26d6b4115a0e,Gill LLC,Ltd,Hong Kong,Bosnia and Herzegovina,1998-03-02
500dbf9e-551c-4360-85c6-b4856808f937,"Miller, Jones and Garrison",PLC,Mozambique,Chile,1979-06-28
ed474d49-b33a-43fb-ab21-6fa1be52898f,Morgan PLC,Ltd,Argentina,Greenland,2001-09-21
24b68327-91b4-468e-a142-60ef5a2f6688,"Brooks, Kerr and Holland",Group,Panama,Namibia,1980-08-03
4e00cfb4-da22-4570-b3ad-a2371be5f8cf,"Jensen, Reed and Wiggins",Group,Nicaragua,Iraq,1989-02-12
