pers_id,comp_id,join_date
0881a8da-8422-4e85-9ca8-985611d5a611,08eddeff-de4f-4aa0-adf9-8dcd8c876aaa,2021-10-13
626a61fb-cf7b-4d40-83f4-bbf6b3410747,ed6ba1f9-636c-4487-942a-95c3538c0101,2024-09-03
f09a2c52-2c7a-42ba-8e85-b7b5fcbcac8f,f35da6d1-1854-43df-baf0-dfa97352a053,2023-01-11
3031aef9-1800-4fe9-975e-ec5bdaf7bf06,6dfa0caf-5ea8-444a-9640-f5b35ccefcd6,2022-10-03
2c937f46-8417-4f88-aba5-88b5e791e504,eb5d744b-dc13-44bd-a3f9-43a280acb219,2022-08-12
c4c17687-8386-4523-91c0-0bc92e2db07c,38ae575d-4327-45f2-81ec-86135893ae96,2024-08-05
de3335f9-58fc-4146-876b-ca3db839171c,9bf70807-d8e1-479a-b53e-d7bfec00e0ee,2021-12-18
933ddc94-1f94-4707-9ca9-846c16bf2ba2,ced38f0e-3ea0-442c-98a4-ffdb14062cdf,2020-08-06
3658e190-8f63-4c08-98fb-fe9e56a36c90,80f32c07-5888-4fb8-9799-945d374552bd,2023-11-06
a0864e62-cbe0-4b1f-b5a1-5525744b2ece,e43db147-6adf-435b-9369-8d838a78b07b,2023-07-26
753824cc-1f8f-4c1f-a9b6-0c50c3d42658,78ed1993-b7f7-4edc-b18f-1c34f63d67aa,2020-04-29
71f2029e-d416-499e-a5a6-b5eedc620be5,b9635525-abb3-4a56-bb0b-aee854d042b2,2021-11-27
5d7fcca7-81af-4420-a8d0-67cf74f10672,78b921a3-7527-4ab1-a52a-ea195b1f35f2,2022-11-25
4a6504a9-2b0f-4ac8-9173-fe0ea862b86a,d6b43f5a-1770-48c7-b868-8db21264924e,2021-07-02
afd3060b-1c3b-4996-bae6-cffab1648aca,67210c63-5f32-41be-a978-f0e0be1d3437,2024-09-03
d608e144-8746-460c-8885-29eb600ef04b,05dbb090-a20a-4d69-8581-660933bfaccd,2022-01-14
d9a9365a-d342-4def-9112-897bdcc6a16f,ceeba366-56dd-462a-b4b8-1e93fab5fc8b,2021-05-11
433c0047-677a-4f76-a7c0-05b5a7fc79f6,6a0cfa78-6468-440c-95f2-2e57045c9eed,2021-01-17
8affd5b7-1f40-4c40-9cc7-56fe380c67b4,70654f80-a32a-4d1d-82d9-f4977652ccf0,2023-08-18
3a42d1e8-f297-4154-945a-2d41a15de16a,6cd8e469-a1fd-44b1-a46c-39a42261a8ef,2020-10-05
7b699fb5-8f4e-420f-ac13-9f45d6ea2353,c5f0ff3b-1c7d-45e0-b51a-3f3b0bbb64db,2022-11-20
4ef332a4-8ae9-45d7-b102-284520628f77,35a9d707-c7f5-4453-ba14-ce1905e2e731,2020-09-15
cda8f5df-23f7-42c3-a68a-bfeaa901d89a,c7671e43-ce13-4c09-b3c0-95604f9f8925,2024-12-28
e95f4dcb-f977-42ad-bb4a-0ee21661bfdf,82751bc3-7dcb-4bcc-a5c4-2c9193f12b99,2022-07-02
335d02f8-51b9-4e57-9714-7af422041367,4f4d86fe-d603-47ef-bd65-a3a238700c40,2022-09-08
b87ff772-cd70-47d0-97a3-72cac901fead,8bec4ba8-1d23-45c9-b0de-8b80bb88ff87,2020-11-14
d7834ac5-2b0a-4d04-9604-67453c0eacde,24103192-4384-4d4b-b4f7-5ba60dd4ff01,2023-08-06
99e01f4b-1fd9-4263-a449-82e7b78a328a,98272352-ea4d-438a-b4ac-194c02beb8f4,2024-08-06
f52f676b-e1c9-4f04-9391-3bee543b7e3c,11e1f780-30db-4cd6-8b9f-d1458eade537,2021-10-17
442046d4-5347-44cc-a677-82cae055f27b,1e5f9d47-f65f-44b7-b676-b0c9990ded62,2025-03-31
4fe88dcf-083b-4f97-825a-ec18f9582fa8,ec33b6ea-514b-43a0-a275-5584d0f06e0d,2022-01-21
f919dac1-57a3-4917-b36f-cf3183844838,b0cdce3d-2cfe-44fb-b40f-868acc260b10,2024-09-28
371f1a5c-c0e7-405b-bfe9-476a76526409,4ef32ae0-79de-482f-b961-0a99311d63f5,2021-05-19
ed3a2182-cb1a-4eb6-a8a9-655ce1167b38,d0e768cf-8165-4bd0-ba00-2da93bc93f0d,2022-04-18
fdcfafd7-fc15-4652-9451-58f45281fe96,fdf43cfb-302d-4c3c-ae81-04a41f3d05f0,2024-10-31
68ce69dc-5869-4589-b113-6a11beb93322,8b3c3327-ed71-4424-8517-8945b0023c21,2022-05-23
db29d5fd-34ec-49ba-ba7f-492207900d25,ecabc907-2773-4ae8-a0dd-819524b1f547,2022-09-03
f33ce224-9f03-4964-9c19-b62e33da23c6,b789b68b-649c-4516-9881-43b412b888f7,2023-07-06
1abc5ce1-30e5-4a63-8364-7e9d9f687bdb,5ccc343e-df05-4765-8531-2bff944d10b2,2020-06-19
69411c6f-b04f-4961-a0b7-45df2ff495e6,64d22377-6657-41d6-87df-0e76d22d4638,2021-03-11
6d0cebcb-6f8e-465f-a7a6-aa89c750371a,d550f816-c743-46be-9375-1a60b8f1d4b0,2024-01-12
866aa76c-61a5-4463-9635-e161448f7e81,2691c7d1-8498-426b-9507-ee90dbc4b71e,2020-09-11
43799b0f-8166-4a66-a3bd-6336a4ac9c41,5b3bbb6c-9e5d-4c2c-b1f7-ac8042476308,2025-02-12
958c6e21-b7d9-4781-9e21-70a2697dc4db,3bdb7554-7a62-4527-afee-6c6139700f0c,2023-05-02
403da8a8-65b3-42f2-92ed-741ed8c8427f,b06fd1c1-53a3-45f9-adfd-ec295bc4f99f,2022-02-16
1ad691cb-5ee9-42d2-9f1c-f820954c762d,a95b8140-1ca6-4ae9-b531-2746e685872e,2024-08-13
ed402b02-49bc-4973-be92-663b4a04fa76,db0811e9-6e06-4ab2-8eb7-94c8e05fb128,2022-06-12
5b29737c-b6b1-43f5-863a-ebea66f16810,ac8096d5-e77a-4f4b-b563-a47060c220ec,2024-11-23
ff5183fc-51f0-4d4c-a342-97f6e90293e9,358ad97e-38e0-4eac-b94e-b10ebc9b1ecd,2022-11-02
82f0291f-1b9a-4338-ab5b-77bdc0ce6855,e0b6fa4c-8d57-44da-a746-94f5d024e0ac,2023-04-04
1c131cb4-3c3b-46f1-81cd-87df08c02413,02e5f265-0921-4ac2-98c7-d016f8561128,2024-08-01
8bec1596-3431-4e6b-b613-22923c00cf71,aa024116-f483-4cd7-9cda-2069635919f9,2021-03-28
5b8e1913-13f2-493a-aea6-6fc99b6ef476,f26b4389-1c71-4c79-844d-f219dc72633b,2022-12-24
c7f7a264-c583-4afb-9fb5-4877033880d9,e198d502-9b61-40ac-a553-db1104626789,2021-02-22
