comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
b4ea76ce-39f9-421b-8ec0-ade661f56124,Booth and Sons,Inc,South Georgia and the South Sandwich Islands,Luxembourg,1990-05-12
0590c53a-7e1f-46d2-a295-285fa03108ba,Harrison-Pitts,LLC,Guatemala,Cuba,2018-03-22
5976c3d7-5ffe-406b-b8ae-8901b0ac17a5,Lee and Sons,LLC,Nepal,Canada,1990-01-11
bee37d62-9717-4716-9290-b8c01bdcb23f,Davis-Marshall,Group,United States Minor Outlying Islands,Lithuania,2008-01-03
5ebb7ea4-c7bf-4604-a471-1b14f6007314,"Powers, Vaughan and Fry",PLC,Guinea,Peru,2001-06-22
a5e79ebc-35e5-4099-a8ce-eb6c636f4019,Frank-Gutierrez,LLC,Equatorial Guinea,Algeria,2000-02-13
7a667066-3868-4b5e-9441-a6492eff3b88,"Kelly, Brooks and Sanchez",Group,Maldives,Nicaragua,1992-11-14
b79eafdb-367e-4d02-9587-3ddce2709582,Farmer-Smith,LLC,Chad,Hungary,2002-07-20
a1445bd1-6747-4620-80c1-7b14deaa5560,Simpson Group,Group,Saint Kitts and Nevis,Latvia,1982-06-11
95888b77-9e8e-4baa-84b6-351cbc5a7e07,Mclaughlin Inc,Inc,Lebanon,Costa Rica,1983-08-07
a8e1f3fc-8660-4bb0-896d-1d59c23f8ef9,Jones-Ruiz,Ltd,Hungary,Tokelau,1972-03-18
742e7afa-4836-498c-99e3-a408122cb322,Kim and Sons,LLC,Ukraine,Ghana,1990-01-08
c04d64a5-a479-446e-839b-454a3532e768,"Walker, Mueller and Casey",and Sons,Lithuania,Bahamas,2000-12-24
b2855478-e699-40aa-be3c-9642129293aa,Greer Ltd,LLC,Antarctica (the territory South of 60 deg S),Montserrat,1976-12-12
1ba58ca2-2562-4db6-964d-711010a378d4,"Jennings, Mcmahon and Cruz",Inc,New Caledonia,Saint Pierre and Miquelon,1988-04-28
2b4f233a-aa9b-4617-b084-104e1be5d987,Franklin LLC,and Sons,British Indian Ocean Territory (Chagos Archipelago),Thailand,1983-08-26
18b16be3-7bac-4f7b-9743-0f739104f3ae,"Brady, Mccann and Coleman",Inc,Eritrea,Tuvalu,1987-08-05
2a7c6605-0601-4d83-a404-f09c952c506d,Stewart-Summers,PLC,Colombia,Bangladesh,1973-03-19
83de8f15-3fd0-428a-b20b-12c95e5f7a1c,Hebert LLC,PLC,Aruba,Somalia,2009-04-06
777e87b3-f332-46d6-9e43-d019f9921228,Buck-Harvey,Group,India,Netherlands,2016-09-06
6acefe41-0189-4fe3-85bf-42f11c7ff30b,"Clark, Salas and Jones",Inc,Isle of Man,Rwanda,2006-11-18
82c080b8-44d4-4ade-bbf3-ff0e2232b2b9,Hurley-Wade,PLC,Niger,Macao,2016-06-24
7ef87912-eaf3-4c6b-8e46-5414ad17f674,"Sanders, Rice and Hunt",LLC,Tokelau,Iraq,1972-11-01
27d44a2b-db3b-4162-b4ab-a9925b6bcb02,"Williams, Lawson and Oconnor",and Sons,Kyrgyz Republic,Kyrgyz Republic,1988-07-01
